game,team
Myrtle Beach Bowl,OHIO
Cricket Celebration Bowl,FAMU
R+L Carriers New Orleans Bowl,JVST
Avocados From Mexico Cure Bowl,M-OH
Isleta New Mexico Bowl,NMSU
Starco Brands LA Bowl,BOIS
Radiance Technologies Independence Bowl,TTU
Famous Toastery Bowl,ODU
Scooter's Coffee Frisco Bowl,UTSA
RoofClaim.com Boca Raton Bowl,USF
Union Home Mortgage Gasparilla Bowl,UCF
76 Birmingham Bowl,DUKE
Camellia Bowl,NIU
Lockheed Martin Armed Forces Bowl,JMU
Famous Idaho Potato Bowl,USU
68 Ventures Bowl,USA
SRS Distribution Las Vegas Bowl,UTAH
EasyPost Hawai'i Bowl,SJSU
Quick Lane Bowl,BGSU
SERVPRO First Responder Bowl,RICE
Guaranteed Rate Bowl,KU
Military Bowl Presented by GoBowling.com,VT
Duke's Mayo Bowl,UNC
DIRECTV Holiday Bowl,LOU
TaxAct Texas Bowl,OKST
Wasabi Fenway Bowl,SMU
Bad Boy Mowers Pinstripe Bowl,MIA
Pop-Tarts Bowl,NCSU
Valero Alamo Bowl,ARIZ
TaxSlayer Gator Bowl,CLEM
Tony the Tiger Sun Bowl,ND
AutoZone Liberty Bowl,MEM
Goodyear Cotton Bowl Classic,OSU
Chick-fil-A Peach Bowl,PSU
TransPerfect Music City Bowl,AUB
Capital One Orange Bowl,UGA
Barstool Sports Arizona Bowl,TOL
ReliaQuest Bowl,LSU
Cheez-It Citrus Bowl,TENN
Vrbo Fiesta Bowl,ORE
CFP Semifinal at the Rose Bowl Game Pres. by Prudential,ALA
CFP Semifinal at the Allstate Sugar Bowl,WASH
CFP National Championship Pres. by AT&T,WASH
Total Points Scored in Championship Game,51
,
