game,team
Myrtle Beach Bowl,OHIO
Cricket Celebration Bowl,FAMU
R+L Carriers New Orleans Bowl,JVST
Avocados From Mexico Cure Bowl,M-OH
Isleta New Mexico Bowl,NMSU
Starco Brands LA Bowl,UCLA
Radiance Technologies Independence Bowl,CAL
Famous Toastery Bowl,ODU
Scooter's Coffee Frisco Bowl,MRSH
RoofClaim.com Boca Raton Bowl,USF
Union Home Mortgage Gasparilla Bowl,GT
76 Birmingham Bowl,TROY
Camellia Bowl,ARST
Lockheed Martin Armed Forces Bowl,AFA
Famous Idaho Potato Bowl,GAST
68 Ventures Bowl,USA
SRS Distribution Las Vegas Bowl,NU
EasyPost Hawai'i Bowl,CCU
Quick Lane Bowl,MINN
SERVPRO First Responder Bowl,TXST
Guaranteed Rate Bowl,KU
Military Bowl Presented by GoBowling.com,VT
Duke's Mayo Bowl,UNC
DIRECTV Holiday Bowl,USC
TaxAct Texas Bowl,TA&M
Wasabi Fenway Bowl,BC
Bad Boy Mowers Pinstripe Bowl,MIA
Pop-Tarts Bowl,KSU
Valero Alamo Bowl,ARIZ
TaxSlayer Gator Bowl,UK
Tony the Tiger Sun Bowl,ORST
AutoZone Liberty Bowl,MEM
Goodyear Cotton Bowl Classic,MIZ
Chick-fil-A Peach Bowl,PSU
TransPerfect Music City Bowl,MD
Capital One Orange Bowl,UGA
Barstool Sports Arizona Bowl,WYO
ReliaQuest Bowl,WIS
Cheez-It Citrus Bowl,TENN
Vrbo Fiesta Bowl,LIB
CFP Semifinal at the Rose Bowl Game Pres. by Prudential,ALA
CFP Semifinal at the Allstate Sugar Bowl,WASH
CFP National Championship Pres. by AT&T,ALA
Total Points Scored in Championship Game,42
,
