game,team
Myrtle Beach Bowl,GASO
Cricket Celebration Bowl,FAMU
R+L Carriers New Orleans Bowl,JVST
Avocados From Mexico Cure Bowl,M-OH
Isleta New Mexico Bowl,FRES
Starco Brands LA Bowl,UCLA
Radiance Technologies Independence Bowl,CAL
Famous Toastery Bowl,ODU
Scooter's Coffee Frisco Bowl,UTSA
RoofClaim.com Boca Raton Bowl,USF
Union Home Mortgage Gasparilla Bowl,GT
76 Birmingham Bowl,TROY
Camellia Bowl,NIU
Lockheed Martin Armed Forces Bowl,AFA
Famous Idaho Potato Bowl,USU
68 Ventures Bowl,EMU
SRS Distribution Las Vegas Bowl,NU
EasyPost Hawai'i Bowl,CCU
Quick Lane Bowl,MINN
SERVPRO First Responder Bowl,RICE
Guaranteed Rate Bowl,KU
Military Bowl Presented by GoBowling.com,TULN
Duke's Mayo Bowl,WVU
DIRECTV Holiday Bowl,LOU
TaxAct Texas Bowl,TA&M
Wasabi Fenway Bowl,SMU
Bad Boy Mowers Pinstripe Bowl,RUTG
Pop-Tarts Bowl,NCSU
Valero Alamo Bowl,OU
TaxSlayer Gator Bowl,UK
Tony the Tiger Sun Bowl,ORST
AutoZone Liberty Bowl,MEM
Goodyear Cotton Bowl Classic,MIZ
Chick-fil-A Peach Bowl,PSU
TransPerfect Music City Bowl,AUB
Capital One Orange Bowl,UGA
Barstool Sports Arizona Bowl,WYO
ReliaQuest Bowl,LSU
Cheez-It Citrus Bowl,TENN
Vrbo Fiesta Bowl,ORE
CFP Semifinal at the Rose Bowl Game Pres. by Prudential,MICH
CFP Semifinal at the Allstate Sugar Bowl,WASH
CFP National Championship Pres. by AT&T,MICH
Total Points Scored in Championship Game,57
,
