game,team
Myrtle Beach Bowl,GASO
Cricket Celebration Bowl,FAMU
R+L Carriers New Orleans Bowl,UL
Avocados From Mexico Cure Bowl,M-OH
Isleta New Mexico Bowl,FRES
Starco Brands LA Bowl,UCLA
Radiance Technologies Independence Bowl,TTU
Famous Toastery Bowl,WKU
Scooter's Coffee Frisco Bowl,MRSH
RoofClaim.com Boca Raton Bowl,SYR
Union Home Mortgage Gasparilla Bowl,UCF
76 Birmingham Bowl,DUKE
Camellia Bowl,NIU
Lockheed Martin Armed Forces Bowl,AFA
Famous Idaho Potato Bowl,USU
68 Ventures Bowl,EMU
SRS Distribution Las Vegas Bowl,UTAH
EasyPost Hawai'i Bowl,SJSU
Quick Lane Bowl,BGSU
SERVPRO First Responder Bowl,TXST
Guaranteed Rate Bowl,UNLV
Military Bowl Presented by GoBowling.com,VT
Duke's Mayo Bowl,WVU
DIRECTV Holiday Bowl,USC
TaxAct Texas Bowl,TA&M
Wasabi Fenway Bowl,SMU
Bad Boy Mowers Pinstripe Bowl,MIA
Pop-Tarts Bowl,NCSU
Valero Alamo Bowl,OU
TaxSlayer Gator Bowl,CLEM
Tony the Tiger Sun Bowl,ORST
AutoZone Liberty Bowl,ISU
Goodyear Cotton Bowl Classic,OSU
Chick-fil-A Peach Bowl,MISS
TransPerfect Music City Bowl,AUB
Capital One Orange Bowl,FSU
Barstool Sports Arizona Bowl,WYO
ReliaQuest Bowl,LSU
Cheez-It Citrus Bowl,TENN
Vrbo Fiesta Bowl,ORE
CFP Semifinal at the Rose Bowl Game Pres. by Prudential,MICH
CFP Semifinal at the Allstate Sugar Bowl,WASH
CFP National Championship Pres. by AT&T,WASH
Total Points Scored in Championship Game,56
,
