game,team
Myrtle Beach Bowl,OHIO
Cricket Celebration Bowl,FAMU
R+L Carriers New Orleans Bowl,JVST
Avocados From Mexico Cure Bowl,APP
Isleta New Mexico Bowl,NMSU
Starco Brands LA Bowl,BOIS
Radiance Technologies Independence Bowl,TTU
Famous Toastery Bowl,ODU
Scooter's Coffee Frisco Bowl,MRSH
RoofClaim.com Boca Raton Bowl,SYR
Union Home Mortgage Gasparilla Bowl,GT
76 Birmingham Bowl,TROY
Camellia Bowl,NIU
Lockheed Martin Armed Forces Bowl,AFA
Famous Idaho Potato Bowl,USU
68 Ventures Bowl,EMU
SRS Distribution Las Vegas Bowl,NU
EasyPost Hawai'i Bowl,CCU
Quick Lane Bowl,BGSU
SERVPRO First Responder Bowl,RICE
Guaranteed Rate Bowl,UNLV
Military Bowl Presented by GoBowling.com,VT
Duke's Mayo Bowl,WVU
DIRECTV Holiday Bowl,LOU
TaxAct Texas Bowl,TA&M
Wasabi Fenway Bowl,SMU
Bad Boy Mowers Pinstripe Bowl,MIA
Pop-Tarts Bowl,NCSU
Valero Alamo Bowl,ARIZ
TaxSlayer Gator Bowl,CLEM
Tony the Tiger Sun Bowl,ND
AutoZone Liberty Bowl,ISU
Goodyear Cotton Bowl Classic,OSU
Chick-fil-A Peach Bowl,PSU
TransPerfect Music City Bowl,AUB
Capital One Orange Bowl,UGA
Barstool Sports Arizona Bowl,WYO
ReliaQuest Bowl,WIS
Cheez-It Citrus Bowl,TENN
Vrbo Fiesta Bowl,ORE
CFP Semifinal at the Rose Bowl Game Pres. by Prudential,MICH
CFP Semifinal at the Allstate Sugar Bowl,TEX
CFP National Championship Pres. by AT&T,WASH
Total Points Scored in Championship Game,45
,
