game,team
Myrtle Beach Bowl,OHIO
Cricket Celebration Bowl,FAMU
R+L Carriers New Orleans Bowl,UL
Avocados From Mexico Cure Bowl,M-OH
Isleta New Mexico Bowl,NMSU
Starco Brands LA Bowl,BOIS
Radiance Technologies Independence Bowl,TTU
Famous Toastery Bowl,WKU
Scooter's Coffee Frisco Bowl,UTSA
RoofClaim.com Boca Raton Bowl,SYR
Union Home Mortgage Gasparilla Bowl,GT
76 Birmingham Bowl,DUKE
Camellia Bowl,ARST
Lockheed Martin Armed Forces Bowl,AFA
Famous Idaho Potato Bowl,USU
68 Ventures Bowl,EMU
SRS Distribution Las Vegas Bowl,UTAH
EasyPost Hawai'i Bowl,SJSU
Quick Lane Bowl,MINN
SERVPRO First Responder Bowl,TXST
Guaranteed Rate Bowl,UNLV
Military Bowl Presented by GoBowling.com,VT
Duke's Mayo Bowl,UNC
DIRECTV Holiday Bowl,USC
TaxAct Texas Bowl,TA&M
Wasabi Fenway Bowl,BC
Bad Boy Mowers Pinstripe Bowl,RUTG
Pop-Tarts Bowl,KSU
Valero Alamo Bowl,ARIZ
TaxSlayer Gator Bowl,UK
Tony the Tiger Sun Bowl,ND
AutoZone Liberty Bowl,ISU
Goodyear Cotton Bowl Classic,OSU
Chick-fil-A Peach Bowl,PSU
TransPerfect Music City Bowl,MD
Capital One Orange Bowl,UGA
Barstool Sports Arizona Bowl,WYO
ReliaQuest Bowl,WIS
Cheez-It Citrus Bowl,TENN
Vrbo Fiesta Bowl,ORE
CFP Semifinal at the Rose Bowl Game Pres. by Prudential,MICH
CFP Semifinal at the Allstate Sugar Bowl,TEX
CFP National Championship Pres. by AT&T,TEX
Total Points Scored in Championship Game,42
,
